Name,Latitude,Longtitude,Possibility,Time
Mandarin Duck,51.3876742,6.8028331,95,1993-04-15
Eurasian Blue Tit,51.5284237,6.7392862,94,2007-05-19
Eurasian Blue Tit,51.5284237,6.7392862,80,2007-05-20
Common Chaffinch,51.5284237,6.7392862,87,2007-05-19
Common Swift,51.5284237,6.7392862,84,2007-05-19
Common Swift,51.5284237,6.7392862,89,2007-05-20
Common Wood-Pigeon,51.5284237,6.7392862,81,2007-05-19
Common Wood-Pigeon,51.5284237,6.7392862,75,2007-05-20
Eurasian Collared-Dove,51.5284237,6.7392862,86,2007-05-19
Eurasian Blackbird,51.5284237,6.7392862,85,2007-05-19
Eurasian Blackbird,51.5284237,6.7392862,87,2007-05-20
Eurasian Jackdaw,51.5284237,6.7392862,81,2007-05-19
Eurasian Jackdaw,51.5284237,6.7392862,83,2007-05-20
Eurasian Magpie,51.5284237,6.7392862,84,2007-05-20
Eurasian Magpie,51.5284237,6.7392862,82,2007-05-19
Eurasian Oystercatcher,51.4508245,6.7243195,89,2007-05-25
Great Black-backed Gull,51.4508245,6.7243195,91,2007-05-25
Gray Heron,51.4508245,6.7243195,91,2007-05-25
Great Cormorant,51.4508245,6.7243195,96,2007-05-25
Great Tit,51.5284237,6.7392862,75,2007-05-19
Herring Gull,51.4508245,6.7243195,90,2007-05-25
House Sparrow,51.4508245,6.7243195,82,2007-05-25
Mallard,51.4508245,6.7243195,89,2007-05-25
Mew Gull,51.4508245,6.7243195,92,2007-05-25
White Wagtail,51.4508245,6.7243195,89,2007-05-25
Eurasian Wren,51.5284237,6.7392862,96,2007-05-20
Eurasian Wren,51.5284237,6.7392862,91,2007-05-19
Eurasian Blackcap,51.4298085,6.8344915,92,2008-08-28
Eurasian Bullfinch,51.4298085,6.8344915,87,2008-08-28
Goldcrest,51.4298085,6.8344915,78,2008-08-28
Eurasian Wren,51.4298085,6.8344915,85,2008-08-28
Common Shelduck,51.5207071,6.7016602,76,2010-04-25
Great Crested Grebe,51.5207071,6.7016602,83,2010-04-25
Great Cormorant,51.5207071,6.7016602,96,2010-04-25
Mallard,51.5207071,6.7016602,83,2010-04-25
Mandarin Duck,51.5207071,6.7016602,79,2010-04-25
Mute Swan,51.5207071,6.7016602,85,2010-04-25
Northern Lapwing,51.5207071,6.7016602,88,2010-04-25
Whooper Swan,51.5207071,6.7016602,88,2010-04-25
Black-headed Gull,51.4373,6.7999,96,2010-10-20
Eurasian Blue Tit,51.4373,6.7999,77,2010-10-20
Carrion Crow,51.4373,6.7999,77,2010-10-20
Eurasian Moorhen,51.4373,6.7999,78,2010-10-20
Common Wood-Pigeon,51.4373,6.7999,81,2010-10-20
Dunnock,51.4373,6.7999,87,2010-10-20
Eurasian Collared-Dove,51.4373,6.7999,81,2010-10-20
Eurasian Blackbird,51.4373,6.7999,92,2010-10-20
Eurasian Nuthatch,51.4373,6.7999,75,2010-10-20
European Robin,51.4373,6.7999,85,2010-10-20
European Starling,51.4373,6.7999,91,2010-10-20
Goldcrest,51.4373,6.7999,79,2010-10-20
Gray Heron,51.4373,6.7999,89,2010-10-20
Great Tit,51.4373,6.7999,76,2010-10-20
House Sparrow,51.4373,6.7999,75,2010-10-20
Mallard,51.4373,6.7999,77,2010-10-20
Eurasian Wren,51.4373,6.7999,90,2010-10-20
Black-headed Gull,51.5261627,6.6995308,93,2011-05-16
Canada Goose,51.5261627,6.6995308,88,2011-05-16
Carrion Crow,51.5261627,6.6995308,88,2011-05-16
Egyptian Goose,51.5261627,6.6995308,86,2011-05-16
Eurasian Jackdaw,51.5261627,6.6995308,97,2011-05-16
Gray Heron,51.5261627,6.6995308,81,2011-05-16
Mallard,51.5261627,6.6995308,76,2011-05-16
Carrion Crow,51.4494569,6.7995071,96,2011-09-12
Carrion Crow,51.5314655,6.8216515,91,2011-09-12
Carrion Crow,51.5314655,6.8216515,76,2011-09-13
Common Buzzard,51.5314655,6.8216515,83,2011-09-13
Common Wood-Pigeon,51.4494569,6.7995071,82,2011-09-12
Common Wood-Pigeon,51.4494569,6.7995071,79,2011-09-13
Common Wood-Pigeon,51.5314655,6.8216515,88,2011-09-12
Common Wood-Pigeon,51.5314655,6.8216515,75,2011-09-13
Eurasian Jay,51.4494569,6.7995071,87,2011-09-12
Eurasian Jay,51.3755023,6.8247414,83,2011-09-15
Eurasian Magpie,51.5314655,6.8216515,97,2011-09-12
Rock Pigeon,51.5314655,6.8216515,77,2011-09-13
Carrion Crow,51.4494569,6.7995071,86,2011-10-24
Carrion Crow,51.5314655,6.8216515,81,2011-10-24
Carrion Crow,51.5314655,6.8216515,94,2011-10-28
Common Buzzard,51.5314655,6.8216515,81,2011-10-28
Common Wood-Pigeon,51.4494569,6.7995071,75,2011-10-24
Common Wood-Pigeon,51.5314655,6.8216515,75,2011-10-24
Common Wood-Pigeon,51.5314655,6.8216515,86,2011-10-28
Eurasian Jay,51.4494569,6.7995071,81,2011-10-24
Eurasian Jay,51.5314655,6.8216515,86,2011-10-24
Eurasian Magpie,51.5314655,6.8216515,90,2011-10-28
Eurasian Magpie,51.5314655,6.8216515,81,2011-10-24
Gray Heron,51.4494569,6.7995071,89,2011-10-24
Great Spotted Woodpecker,51.5314655,6.8216515,89,2011-10-28
Eurasian Jay,51.4494569,6.7995071,76,2011-11-02
Black-headed Gull,51.5261627,6.6995308,96,2011-12-10
Canada Goose,51.5261627,6.6995308,98,2011-12-10
Carrion Crow,51.5261627,6.6995308,87,2011-12-10
Common Chaffinch,51.5261627,6.6995308,80,2011-12-10
Eurasian Magpie,51.5261627,6.6995308,87,2011-12-10
Eurasian Wigeon,51.5261627,6.6995308,81,2011-12-10
Graylag Goose,51.5261627,6.6995308,92,2011-12-10
Gray Heron,51.5261627,6.6995308,76,2011-12-10
Great Cormorant,51.5261627,6.6995308,94,2011-12-10
Mallard,51.5261627,6.6995308,96,2011-12-10
Eurasian Magpie,51.5314655,6.8216515,94,2012-03-19
Black-headed Gull,51.5261627,6.6995308,83,2012-08-12
Eurasian Blackcap,51.3755023,6.8247414,86,2012-08-06
Eurasian Blue Tit,51.3755757,6.7994758,84,2012-08-07
Eurasian Blue Tit,51.3755023,6.8247414,80,2012-08-06
Canada Goose,51.5261627,6.6995308,78,2012-08-12
Canada Goose,51.3755757,6.7994758,98,2012-08-07
Carrion Crow,51.5261627,6.6995308,94,2012-08-12
Carrion Crow,51.3426678,6.8231651,89,2012-08-02
Carrion Crow,51.3426678,6.8231651,78,2012-08-07
Common House-Martin,51.3426678,6.8231651,85,2012-08-02
Common House-Martin,51.3426678,6.8231651,82,2012-08-07
Common Buzzard,51.3426678,6.8231651,82,2012-08-02
Common Chaffinch,51.3426678,6.8231651,82,2012-08-02
Common Swift,51.3426678,6.8231651,96,2012-08-02
Common Wood-Pigeon,51.3426678,6.8231651,83,2012-08-07
Common Wood-Pigeon,51.3755023,6.8247414,88,2012-08-06
Common Wood-Pigeon,51.3755757,6.7994758,79,2012-08-07
Common Wood-Pigeon,51.3426678,6.8231651,75,2012-08-02
Egyptian Goose,51.3755757,6.7994758,91,2012-08-07
Eurasian Blackbird,51.3755757,6.7994758,88,2012-08-07
Eurasian Blackbird,51.3426678,6.8231651,80,2012-08-02
Eurasian Blackbird,51.3755023,6.8247414,79,2012-08-06
European Goldfinch,51.3426678,6.8231651,96,2012-08-02
Eurasian Jackdaw,51.5261627,6.6995308,87,2012-08-12
Eurasian Jay,51.3755757,6.7994758,76,2012-08-07
Eurasian Kestrel,51.3426678,6.8231651,98,2012-08-07
Eurasian Magpie,51.3755023,6.8247414,94,2012-08-06
Eurasian Magpie,51.3426678,6.8231651,84,2012-08-02
Eurasian Nuthatch,51.3755023,6.8247414,81,2012-08-06
Eurasian Nuthatch,51.3755757,6.7994758,94,2012-08-07
Graylag Goose,51.5261627,6.6995308,89,2012-08-12
Graylag Goose,51.3755757,6.7994758,84,2012-08-07
Gray Heron,51.3426678,6.8231651,97,2012-08-02
Gray Heron,51.3755757,6.7994758,84,2012-08-07
Great Crested Grebe,51.3755757,6.7994758,76,2012-08-07
Great Cormorant,51.3755757,6.7994758,77,2012-08-07
Great Tit,51.3755023,6.8247414,82,2012-08-06
Great Tit,51.3426678,6.8231651,78,2012-08-02
Great Tit,51.3755757,6.7994758,80,2012-08-07
Great Spotted Woodpecker,51.3755023,6.8247414,82,2012-08-06
Great Spotted Woodpecker,51.3426678,6.8231651,96,2012-08-02
Great Spotted Woodpecker,51.3755757,6.7994758,97,2012-08-07
House Sparrow,51.3426678,6.8231651,83,2012-08-02
Long-tailed Tit,51.3755757,6.7994758,94,2012-08-07
Mallard,51.3755023,6.8247414,80,2012-08-06
Mallard,51.5261627,6.6995308,87,2012-08-12
Northern Goshawk,51.3755757,6.7994758,79,2012-08-07
Rock Pigeon,51.3426678,6.8231651,92,2012-08-02
Rock Pigeon,51.3426678,6.8231651,81,2012-08-07
Short-toed Treecreeper,51.3755023,6.8247414,94,2012-08-06
Short-toed Treecreeper,51.3755757,6.7994758,98,2012-08-07
Willow Tit,51.3755023,6.8247414,82,2012-08-06
Common Sandpiper,51.4274966,6.7218475,82,2012-09-18
Black-headed Gull,51.4494569,6.7995071,91,2012-10-28
Carrion Crow,51.4494569,6.7995071,91,2012-10-28
Common Wood-Pigeon,51.4494569,6.7995071,85,2012-10-28
Rock Pigeon,51.4494569,6.7995071,81,2012-10-28
Black-headed Gull,51.5261627,6.6995308,78,2013-09-17
Eurasian Blue Tit,51.5261627,6.6995308,94,2013-09-17
Eurasian Jackdaw,51.5261627,6.6995308,81,2013-09-17
Eurasian Jay,51.5261627,6.6995308,77,2013-09-17
Great Cormorant,51.5261627,6.6995308,90,2013-09-17
Mallard,51.5261627,6.6995308,91,2013-09-17
Mew Gull,51.5261627,6.6995308,88,2013-09-17
Yellow-legged Gull,51.5261627,6.6995308,87,2013-09-17
Common Crane,51.5314655,6.8216515,97,2014-02-24
Barn Swallow,51.50044,6.7139,95,2014-04-19
Eurasian Blackcap,51.50044,6.7139,97,2014-04-19
Carrion Crow,51.50044,6.7139,96,2014-04-19
Common Buzzard,51.50044,6.7139,96,2014-04-19
Common Chaffinch,51.50044,6.7139,75,2014-04-19
Common Chiffchaff,51.50044,6.7139,90,2014-04-19
Common Wood-Pigeon,51.50044,6.7139,82,2014-04-19
Western Yellow Wagtail,51.50044,6.7139,90,2014-04-19
Egyptian Goose,51.50044,6.7139,84,2014-04-19
European Goldfinch,51.50044,6.7139,89,2014-04-19
European Greenfinch,51.50044,6.7139,84,2014-04-19
Eurasian Jackdaw,51.50044,6.7139,93,2014-04-19
Eurasian Magpie,51.50044,6.7139,98,2014-04-19
Eurasian Oystercatcher,51.50044,6.7139,80,2014-04-19
Gray Heron,51.50044,6.7139,86,2014-04-19
Herring Gull,51.50044,6.7139,98,2014-04-19
House Sparrow,51.50044,6.7139,79,2014-04-19
Mallard,51.50044,6.7139,88,2014-04-19
Northern Lapwing,51.50044,6.7139,82,2014-04-19
Ring-necked Pheasant,51.50044,6.7139,86,2014-04-19
Eurasian Skylark,51.50044,6.7139,91,2014-04-19
Stock Dove,51.50044,6.7139,99,2014-04-19
White Wagtail,51.50044,6.7139,91,2014-04-19
Willow Warbler,51.50044,6.7139,87,2014-04-19
Barn Swallow,51.3676169,6.8296809,83,2014-07-22
Black-headed Gull,51.5261627,6.6995308,90,2014-07-19
Black-headed Gull,51.5261627,6.6995308,83,2014-07-24
Eurasian Blackcap,51.3676169,6.8296809,95,2014-07-22
Eurasian Blue Tit,51.5261627,6.6995308,95,2014-07-24
Eurasian Blue Tit,51.5261627,6.6995308,93,2014-07-19
Eurasian Blue Tit,51.3676169,6.8296809,76,2014-07-20
Carrion Crow,51.5261627,6.6995308,78,2014-07-19
Carrion Crow,51.5261627,6.6995308,79,2014-07-24
Coal Tit,51.3676169,6.8296809,84,2014-07-20
Common House-Martin,51.5261627,6.6995308,92,2014-07-19
Common Buzzard,51.3676169,6.8296809,90,2014-07-22
Common Chiffchaff,51.3676169,6.8296809,98,2014-07-20
Common Sandpiper,51.5261627,6.6995308,95,2014-07-24
Common Swift,51.3676169,6.8296809,86,2014-07-20
Common Wood-Pigeon,51.5261627,6.6995308,79,2014-07-19
Common Wood-Pigeon,51.5261627,6.6995308,85,2014-07-24
Common Wood-Pigeon,51.3676169,6.8296809,81,2014-07-20
Common Wood-Pigeon,51.3676169,6.8296809,87,2014-07-22
Egyptian Goose,51.5261627,6.6995308,99,2014-07-19
Egyptian Goose,51.5261627,6.6995308,80,2014-07-24
Eurasian Blackbird,51.3676169,6.8296809,94,2014-07-22
Eurasian Jackdaw,51.5261627,6.6995308,96,2014-07-19
Eurasian Jackdaw,51.5261627,6.6995308,91,2014-07-24
Eurasian Jay,51.3676169,6.8296809,79,2014-07-20
Eurasian Magpie,51.5261627,6.6995308,80,2014-07-19
Eurasian Magpie,51.5261627,6.6995308,82,2014-07-24
Eurasian Nuthatch,51.3676169,6.8296809,94,2014-07-20
Eurasian Nuthatch,51.3676169,6.8296809,79,2014-07-22
European Robin,51.3676169,6.8296809,77,2014-07-20
European Robin,51.3676169,6.8296809,84,2014-07-22
Graylag Goose,51.5261627,6.6995308,93,2014-07-19
Gray Heron,51.5261627,6.6995308,91,2014-07-24
Gray Heron,51.5261627,6.6995308,96,2014-07-19
Great Cormorant,51.5261627,6.6995308,87,2014-07-19
Great Cormorant,51.5261627,6.6995308,86,2014-07-24
Great Tit,51.5261627,6.6995308,95,2014-07-24
Great Tit,51.3676169,6.8296809,94,2014-07-22
Great Spotted Woodpecker,51.5284237,6.7392862,75,2014-07-27
Long-tailed Tit,51.3676169,6.8296809,80,2014-07-20
Mallard,51.5261627,6.6995308,76,2014-07-24
Mallard,51.5261627,6.6995308,96,2014-07-19
Mew Gull,51.5261627,6.6995308,89,2014-07-24
Mew Gull,51.5261627,6.6995308,88,2014-07-19
Rock Pigeon,51.5261627,6.6995308,96,2014-07-24
Canada Goose,51.398422,6.7176676,77,2015-03-18
Carrion Crow,51.398422,6.7176676,94,2015-03-18
Common Buzzard,51.398422,6.7176676,90,2015-03-18
Common Wood-Pigeon,51.398422,6.7176676,88,2015-03-18
Egyptian Goose,51.398422,6.7176676,91,2015-03-18
Eurasian Blackbird,51.398422,6.7176676,93,2015-03-18
Eurasian Blackbird,51.3906553,6.7433417,98,2015-03-15
Eurasian Coot,51.398422,6.7176676,89,2015-03-18
Eurasian Jackdaw,51.398422,6.7176676,98,2015-03-18
Eurasian Magpie,51.398422,6.7176676,84,2015-03-18
Graylag Goose,51.398422,6.7176676,75,2015-03-18
Great Spotted Woodpecker,51.398422,6.7176676,76,2015-03-18
Mallard,51.398422,6.7176676,77,2015-03-18
Eurasian Blackcap,51.5261627,6.6995308,90,2015-04-25
Canada Goose,51.5261627,6.6995308,87,2015-04-25
Carrion Crow,51.5261627,6.6995308,94,2015-04-25
Common Chaffinch,51.5261627,6.6995308,82,2015-04-25
Common Chiffchaff,51.5261627,6.6995308,78,2015-04-25
Common Sandpiper,51.5261627,6.6995308,86,2015-04-25
Common Wood-Pigeon,51.5261627,6.6995308,89,2015-04-25
Egyptian Goose,51.5261627,6.6995308,84,2015-04-25
Eurasian Blackbird,51.5261627,6.6995308,87,2015-04-25
Eurasian Jackdaw,51.5261627,6.6995308,88,2015-04-25
Eurasian Magpie,51.5261627,6.6995308,82,2015-04-25
Graylag Goose,51.5261627,6.6995308,80,2015-04-25
Gray Heron,51.5261627,6.6995308,78,2015-04-25
Great Cormorant,51.5261627,6.6995308,87,2015-04-25
Greater Whitethroat,51.5261627,6.6995308,94,2015-04-25
Mallard,51.5261627,6.6995308,78,2015-04-25
Mew Gull,51.5261627,6.6995308,92,2015-04-25
Reed Bunting,51.5261627,6.6995308,84,2015-04-25
White Wagtail,51.5261627,6.6995308,91,2015-04-25
Common Chiffchaff,51.5295835,6.8669964,97,2015-05-13
Common Raven,51.5295835,6.8669964,90,2015-05-13
Common Swift,51.4290762,6.7665482,76,2015-05-04
Common Swift,51.5295835,6.8669964,98,2015-05-13
Dunnock,51.5295835,6.8669964,88,2015-05-13
Eurasian Kestrel,51.5295835,6.8669964,91,2015-05-13
Greater Whitethroat,51.5295835,6.8669964,95,2015-05-13
Great Spotted Woodpecker,51.5295835,6.8669964,75,2015-05-13
Long-tailed Tit,51.5295835,6.8669964,80,2015-05-13
Marsh Tit,51.5295835,6.8669964,88,2015-05-13
Song Thrush,51.5295835,6.8669964,81,2015-05-13
White Wagtail,51.5295835,6.8669964,78,2015-05-13
Eurasian Wren,51.5295835,6.8669964,88,2015-05-13
Eurasian Blue Tit,51.4150574,6.6860993,96,2015-06-09
Dunnock,51.4150574,6.6860993,75,2015-06-09
European Goldfinch,51.4150574,6.6860993,95,2015-06-09
Eurasian Kestrel,51.4150574,6.6860993,89,2015-06-09
Eurasian Magpie,51.4150574,6.6860993,83,2015-06-09
European Robin,51.4150574,6.6860993,97,2015-06-09
Great Tit,51.4150574,6.6860993,84,2015-06-09
Black-headed Gull,51.5255864,6.6959953,92,2015-07-24
Black-headed Gull,51.4952981,6.7117023,80,2015-07-24
Black-headed Gull,51.4771795,6.6824341,89,2015-07-24
Eurasian Blackcap,51.5255864,6.6959953,77,2015-07-24
Canada Goose,51.4771795,6.6824341,99,2015-07-24
Carrion Crow,51.4771795,6.6824341,75,2015-07-24
Carrion Crow,51.4952981,6.7117023,92,2015-07-24
Carrion Crow,51.5255864,6.6959953,80,2015-07-24
Common Sandpiper,51.4952981,6.7117023,84,2015-07-24
Common Wood-Pigeon,51.5255864,6.6959953,85,2015-07-24
Egyptian Goose,51.5255864,6.6959953,91,2015-07-24
Egyptian Goose,51.4952981,6.7117023,86,2015-07-24
Egyptian Goose,51.4771795,6.6824341,96,2015-07-24
Eurasian Blackbird,51.4493196,6.7177105,75,2015-07-24
European Greenfinch,51.5255864,6.6959953,80,2015-07-24
Eurasian Jackdaw,51.5255864,6.6959953,77,2015-07-24
Eurasian Oystercatcher,51.4952981,6.7117023,91,2015-07-24
Eurasian Oystercatcher,51.5255864,6.6959953,82,2015-07-24
Graylag Goose,51.4771795,6.6824341,95,2015-07-24
Graylag Goose,51.4952981,6.7117023,88,2015-07-24
Graylag Goose,51.5255864,6.6959953,99,2015-07-24
Gray Heron,51.4952981,6.7117023,75,2015-07-24
Gray Heron,51.5255864,6.6959953,79,2015-07-24
Gray Heron,51.4771795,6.6824341,75,2015-07-24
Herring Gull,51.5255864,6.6959953,90,2015-07-24
Larus sp.,51.5255864,6.6959953,97,2015-07-24
Larus sp.,51.4952981,6.7117023,80,2015-07-24
Larus sp.,51.4771795,6.6824341,86,2015-07-24
Lesser Black-backed Gull,51.4952981,6.7117023,96,2015-07-24
Mallard,51.4952981,6.7117023,92,2015-07-24
Mew Gull,51.5255864,6.6959953,81,2015-07-24
White Stork,51.4952981,6.7117023,97,2015-07-24
Eurasian Wren,51.4952981,6.7117023,84,2015-07-24
Eurasian Wren,51.5255864,6.6959953,94,2015-07-24
Eurasian Wren,51.4771795,6.6824341,87,2015-07-24
Yellow-legged Gull,51.5255864,6.6959953,79,2015-07-24
Eurasian Blackcap,51.5295835,6.8669964,93,2015-08-19
Eurasian Blackcap,51.5295835,6.8669964,76,2015-08-21
Eurasian Blackcap,51.5295835,6.8669964,99,2015-08-14
Common Buzzard,51.5295835,6.8669964,93,2015-08-21
Common Chaffinch,51.5295835,6.8669964,93,2015-08-20
Common Redstart,51.5295835,6.8669964,96,2015-08-19
Common Redstart,51.5295835,6.8669964,93,2015-08-21
Dunnock,51.5295835,6.8669964,98,2015-08-21
Dunnock,51.5295835,6.8669964,86,2015-08-14
Dunnock,51.5295835,6.8669964,79,2015-08-20
European Pied Flycatcher,51.5295835,6.8669964,94,2015-08-21
European Pied Flycatcher,51.5295835,6.8669964,88,2015-08-14
European Goldfinch,51.5295835,6.8669964,90,2015-08-21
Eurasian Jay,51.5295835,6.8669964,78,2015-08-21
Eurasian Jay,51.5295835,6.8669964,77,2015-08-20
Eurasian Nuthatch,51.5295835,6.8669964,82,2015-08-14
Eurasian Nuthatch,51.5295835,6.8669964,98,2015-08-20
Garden Warbler,51.5295835,6.8669964,88,2015-08-19
Greater Whitethroat,51.5295835,6.8669964,96,2015-08-21
Eurasian Green Woodpecker,51.5295835,6.8669964,89,2015-08-14
Marsh Tit,51.5295835,6.8669964,75,2015-08-19
Marsh Tit,51.5295835,6.8669964,86,2015-08-21
Mistle Thrush,51.5295835,6.8669964,84,2015-08-20
Short-toed Treecreeper,51.5295835,6.8669964,90,2015-08-21
Whinchat,51.5295835,6.8669964,82,2015-08-20
Whinchat,51.5295835,6.8669964,91,2015-08-21
Eurasian Wren,51.5295835,6.8669964,85,2015-08-21
Eurasian Wren,51.5295835,6.8669964,76,2015-08-19
Eurasian Wren,51.5295835,6.8669964,94,2015-08-20
Willow Warbler,51.5295835,6.8669964,77,2015-08-20
Willow Warbler,51.5295835,6.8669964,82,2015-08-19
Willow Warbler,51.5295835,6.8669964,93,2015-08-21
Common Buzzard,51.5295835,6.8669964,95,2015-09-09
Common Buzzard,51.5295835,6.8669964,87,2015-09-11
Common Chiffchaff,51.5295835,6.8669964,91,2015-09-09
Common Redstart,51.5295835,6.8669964,76,2015-09-09
Common Redstart,51.5295835,6.8669964,81,2015-09-11
